Roll,Name,Email,Unnamed: 3,Unique
1401CS05,Astha,Astha@mycollege.in,,
1401CS20,Sekhar,Sekhar@mycollege.in,,
1401CS35,Chetna,Chetna@mycollege.in,,
1401CS50,Nithisha,Nithisha@mycollege.in,,
1401CS65,Ayan,Ayan@mycollege.in,,
1401CS80,Shrestha,Shrestha@mycollege.in,,
1401CS95,Suryakant,Suryakant@mycollege.in,,
1401CH15,Muskaan,Muskaan@mycollege.in,,
1401CH30,Srijan,Srijan@mycollege.in,,
1401CH45,Tamanna,Tamanna@mycollege.in,,
1401CH60,Shriya,Shriya@mycollege.in,,
1401CH75,Aishwarya,Aishwarya@mycollege.in,,
1401MM06,Aanchal,Aanchal@mycollege.in,,
1401MM21,Vipasha,Vipasha@mycollege.in,,
1401MM36,Robin,Robin@mycollege.in,,
1401MM51,Anusha,Anusha@mycollege.in,,
1401MM66,Ashal,Ashal@mycollege.in,,
1401MM81,Gyanvi,Gyanvi@mycollege.in,,
1401MT14,Elamathi,Elamathi@mycollege.in,,
1401MT29,Priyal,Priyal@mycollege.in,,
1401MT44,Manaswini,Manaswini@mycollege.in,,
1401MT59,Reshami,Reshami@mycollege.in,,
1401MT74,Jenamani,Jenamani@mycollege.in,,
1401MC11,Ashok,Ashok@mycollege.in,,
1401MC26,Ram,Ram@mycollege.in,,
1401MC41,Asutosh,Asutosh@mycollege.in,,
1401MC56,Raunak,Raunak@mycollege.in,,
1401MC71,Renu,Renu@mycollege.in,,
1401CT11,Vipul,Vipul@mycollege.in,,
1401CT26,Manya,Manya@mycollege.in,,
1401CT41,Saurav,Saurav@mycollege.in,,
1401CT56,Namrata,Namrata@mycollege.in,,
1401CE07,Lakshya,Lakshya@mycollege.in,,
1401CE22,Pratibha,Pratibha@mycollege.in,,
1401CE37,Saran,Saran@mycollege.in,,
1401CE52,Vanshika,Vanshika@mycollege.in,,
1401EC11,Mallika,Mallika@mycollege.in,,
1401EC26,Dolly,Dolly@mycollege.in,,
1401EC41,Rana,Rana@mycollege.in,,
1401CB02,Tushar,Tushar@mycollege.in,,
1401CB17,Pallavi,Pallavi@mycollege.in,,
1401CB32,Ankita,Ankita@mycollege.in,,
1401CB47,Kishan,Kishan@mycollege.in,,
1401AI12,Rahul,Rahul@mycollege.in,,
1401AI27,Harshit,Harshit@mycollege.in,,
1401AI42,Anshika,Anshika@mycollege.in,,
