Roll,Name,Email,Unnamed: 3,Unique
1401CS15,Aayushi,Aayushi@mycollege.in,,
1401CS30,Dalia,Dalia@mycollege.in,,
1401CS45,Divyam,Divyam@mycollege.in,,
1401CS60,Smita,Smita@mycollege.in,,
1401CS75,Hemanshu,Hemanshu@mycollege.in,,
1401CS90,Sushant,Sushant@mycollege.in,,
1401CH10,Manu,Manu@mycollege.in,,
1401CH25,Shashwat,Shashwat@mycollege.in,,
1401CH40,Shalini,Shalini@mycollege.in,,
1401CH55,Pooja,Pooja@mycollege.in,,
1401CH70,Sameer,Sameer@mycollege.in,,
1401MM01,Bilal,Bilal@mycollege.in,,
1401MM16,Saanchi,Saanchi@mycollege.in,,
1401MM31,Abhedhya,Abhedhya@mycollege.in,,
1401MM46,Ashmita,Ashmita@mycollege.in,,
1401MM61,Arshad,Arshad@mycollege.in,,
1401MM76,Mansoon,Mansoon@mycollege.in,,
1401MT09,Fariya,Fariya@mycollege.in,,
1401MT24,Kunaal,Kunaal@mycollege.in,,
1401MT39,Ranjan,Ranjan@mycollege.in,,
1401MT54,Nihal,Nihal@mycollege.in,,
1401MT69,Hari,Hari@mycollege.in,,
1401MC06,Chaitanya,Chaitanya@mycollege.in,,
1401MC21,Chinmay,Chinmay@mycollege.in,,
1401MC36,Pinky,Pinky@mycollege.in,,
1401MC51,Seshikanth,Seshikanth@mycollege.in,,
1401MC66,Deepshikha,Deepshikha@mycollege.in,,
1401CT06,Shakti,Shakti@mycollege.in,,
1401CT21,Nitikarsh,Nitikarsh@mycollege.in,,
1401CT36,Satya,Satya@mycollege.in,,
1401CT51,Anita,Anita@mycollege.in,,
1401CE02,Alok,Alok@mycollege.in,,
1401CE17,Shambhavi,Shambhavi@mycollege.in,,
1401CE32,Atul,Atul@mycollege.in,,
1401CE47,Sumeet,Sumeet@mycollege.in,,
1401EC06,Nivedita,Nivedita@mycollege.in,,
1401EC21,Prarthana,Prarthana@mycollege.in,,
1401EC36,Maaz,Maaz@mycollege.in,,
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,,
1401CB12,Neeraj,Neeraj@mycollege.in,,
1401CB27,Palak,Palak@mycollege.in,,
1401CB42,Riya,Riya@mycollege.in,,
1401AI07,Shubham,Shubham@mycollege.in,,EC.csv
1401AI22,Gaurav,Gaurav@mycollege.in,,
1401AI37,Vishal,Vishal@mycollege.in,,
