Roll,Name,Email,Unnamed: 3,Unique
1401CS04,Deepika,Deepika@mycollege.in,,
1401CS19,Amrita,Amrita@mycollege.in,,
1401CS34,Nethaji,Nethaji@mycollege.in,,
1401CS49,Niteesh,Niteesh@mycollege.in,,
1401CS64,Aakash,Aakash@mycollege.in,,
1401CS79,Dimpal,Dimpal@mycollege.in,,
1401CS94,Srishti,Srishti@mycollege.in,,
1401CH14,Diksha,Diksha@mycollege.in,,
1401CH29,Simran,Simran@mycollege.in,,
1401CH44,Danish,Danish@mycollege.in,,
1401CH59,Dinesh,Dinesh@mycollege.in,,
1401CH74,Kanika,Kanika@mycollege.in,,
1401MM05,Hemlata,Hemlata@mycollege.in,,
1401MM20,Aaditya,Aaditya@mycollege.in,,
1401MM35,Sahaj,Sahaj@mycollege.in,,
1401MM50,Sharique,Sharique@mycollege.in,,
1401MM65,Asmita,Asmita@mycollege.in,,
1401MM80,Prajeeth,Prajeeth@mycollege.in,,
1401MT13,Kaushiki,Kaushiki@mycollege.in,,
1401MT28,Priyesh,Priyesh@mycollege.in,,
1401MT43,Shreyans,Shreyans@mycollege.in,,
1401MT58,Joy,Joy@mycollege.in,,
1401MT73,Rupali,Rupali@mycollege.in,,
1401MC10,Surendra,Surendra@mycollege.in,,
1401MC25,Raashi,Raashi@mycollege.in,,
1401MC40,Pushkar,Pushkar@mycollege.in,,
1401MC55,Subash,Subash@mycollege.in,,
1401MC70,Venkata,Venkata@mycollege.in,,
1401CT10,Sudheer,Sudheer@mycollege.in,,
1401CT25,Megha,Megha@mycollege.in,,
1401CT40,Yuvraj,Yuvraj@mycollege.in,,
1401CT55,Jaya,Jaya@mycollege.in,,
1401CE06,Shivam,Shivam@mycollege.in,,
1401CE21,Prakash,Prakash@mycollege.in,,
1401CE36,Mohsin,Mohsin@mycollege.in,,
1401CE51,Vikas,Vikas@mycollege.in,,
1401EC10,Nilesh,Nilesh@mycollege.in,,
1401EC25,Devansh,Devansh@mycollege.in,,
1401EC40,Kamini,Kamini@mycollege.in,,
1401CB01,Mansi,Mansi@mycollege.in,,
1401CB16,Arun,Arun@mycollege.in,,
1401CB31,Arpit,Arpit@mycollege.in,,
1401CB46,Sumit,Sumit@mycollege.in,,
1401AI11,Muskan,Muskan@mycollege.in,,
1401AI26,Priya,Priya@mycollege.in,,
1401AI41,Krishna,Krishna@mycollege.in,,
