Roll,Name,Email,Unnamed: 3,Unique
1401CS03,Yogesh,Yogesh@mycollege.in,,
1401CS18,Amisha,Amisha@mycollege.in,,
1401CS33,Bramoni,Bramoni@mycollege.in,,
1401CS48,Arunima,Arunima@mycollege.in,,
1401CS63,Arti,Arti@mycollege.in,,
1401CS78,Divakar,Divakar@mycollege.in,,
1401CS93,Subham,Subham@mycollege.in,,
1401CH13,Devendra,Devendra@mycollege.in,,
1401CH28,Anchal,Anchal@mycollege.in,,
1401CH43,Sanskriti,Sanskriti@mycollege.in,,
1401CH58,Ritu,Ritu@mycollege.in,,
1401CH73,Mahi,Mahi@mycollege.in,,
1401MM04,Apoorva,Apoorva@mycollege.in,,
1401MM19,Nishant,Nishant@mycollege.in,,
1401MM34,Rupal,Rupal@mycollege.in,,
1401MM49,Nahid,Nahid@mycollege.in,,
1401MM64,Asthana,Asthana@mycollege.in,,
1401MM79,Meet,Meet@mycollege.in,,
1401MT12,Khalid,Khalid@mycollege.in,,
1401MT27,Sawan,Sawan@mycollege.in,,
1401MT42,Nargis,Nargis@mycollege.in,,
1401MT57,Shagun,Shagun@mycollege.in,,
1401MT72,Shaad,Shaad@mycollege.in,,
1401MC09,Subodh,Subodh@mycollege.in,,
1401MC24,Desh,Desh@mycollege.in,,
1401MC39,Rajkumar,Rajkumar@mycollege.in,,
1401MC54,Kapil,Kapil@mycollege.in,,
1401MC69,Siddhesh,Siddhesh@mycollege.in,,
1401CT09,Shalu,Shalu@mycollege.in,,
1401CT24,Khanak,Khanak@mycollege.in,,
1401CT39,Amaan,Amaan@mycollege.in,,
1401CT54,Kritika,Kritika@mycollege.in,,
1401CE05,Pragati,Pragati@mycollege.in,,
1401CE20,Prince,Prince@mycollege.in,,
1401CE35,Shubhangi,Shubhangi@mycollege.in,,
1401CE50,Neha,Neha@mycollege.in,,
1401EC09,Pankhuri,Pankhuri@mycollege.in,,
1401EC24,Devanshu,Devanshu@mycollege.in,,
1401EC39,Kamran,Kamran@mycollege.in,,
1401EC54,Shreyas,Shreyas@mycollege.in,,
1401CB15,Nisha,Nisha@mycollege.in,,
1401CB30,Ravi,Ravi@mycollege.in,,
1401CB45,Isha,Isha@mycollege.in,,
1401AI10,Saurabh,Saurabh@mycollege.in,,MT.csv
1401AI25,Prashant,Prashant@mycollege.in,,
1401AI40,Ayushi,Ayushi@mycollege.in,,
