Roll,Name,Email,Unnamed: 3,Unique
1401CS01,Arpita,Arpita@mycollege.in,,
1401CS16,Akshay,Akshay@mycollege.in,,
1401CS31,Aadharsh,Aadharsh@mycollege.in,,
1401CS46,Kirti,Kirti@mycollege.in,,
1401CS61,Subhra,Subhra@mycollege.in,,
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,,
1401CS91,Ujjwal,Ujjwal@mycollege.in,,
1401CH11,Deependra,Deependra@mycollege.in,,
1401CH26,Shatakshi,Shatakshi@mycollege.in,,
1401CH41,Abhijit,Abhijit@mycollege.in,,
1401CH56,Gayathri,Gayathri@mycollege.in,,
1401CH71,Shubhi,Shubhi@mycollege.in,,
1401MM02,Abhilash,Abhilash@mycollege.in,,
1401MM17,Aadil,Aadil@mycollege.in,,
1401MM32,Gnaneswar,Gnaneswar@mycollege.in,,
1401MM47,Chhavi,Chhavi@mycollege.in,,
1401MM62,Yeram,Yeram@mycollege.in,,
1401MM77,Akshaya,Akshaya@mycollege.in,,
1401MT10,Toshit,Toshit@mycollege.in,,
1401MT25,Ishwa,Ishwa@mycollege.in,,
1401MT40,Shukant,Shukant@mycollege.in,,
1401MT55,Devyanti,Devyanti@mycollege.in,,
1401MT70,Saumile,Saumile@mycollege.in,,
1401MC07,Mani,Mani@mycollege.in,,
1401MC22,Chahat,Chahat@mycollege.in,,
1401MC37,Raju,Raju@mycollege.in,,
1401MC52,Kalpana,Kalpana@mycollege.in,,
1401MC67,Amar,Amar@mycollege.in,,
1401CT07,Satendra,Satendra@mycollege.in,,
1401CT22,Mugdha,Mugdha@mycollege.in,,
1401CT37,Vandana,Vandana@mycollege.in,,
1401CT52,Anupriya,Anupriya@mycollege.in,,
1401CE03,Raghav,Raghav@mycollege.in,,
1401CE18,Anshu,Anshu@mycollege.in,,
1401CE33,Sarvesh,Sarvesh@mycollege.in,,
1401CE48,Prerna,Prerna@mycollege.in,,
1401EC07,Neetika,Neetika@mycollege.in,,
1401EC22,Rekha,Rekha@mycollege.in,,
1401EC37,Jahnavi,Jahnavi@mycollege.in,,
1401EC52,Indu,Indu@mycollege.in,,
1401CB13,Ritika,Ritika@mycollege.in,,
1401CB28,Ankur,Ankur@mycollege.in,,
1401CB43,Sneha,Sneha@mycollege.in,,
1401AI08,Anushka,Anushka@mycollege.in,,MC.csv
1401AI23,Nikhil,Nikhil@mycollege.in,,
1401AI38,Aditya,Aditya@mycollege.in,,
