Roll,Name,Email,Unnamed: 3,Unique
1401CH02,Ganesh,Ganesh@mycollege.in,,
1401MM03,Vaishali,Vaishali@mycollege.in,,
1401CH05,Jitendra,Jitendra@mycollege.in,,
1401MM06,Aanchal,Aanchal@mycollege.in,,
1401CH08,Lucky,Lucky@mycollege.in,,
1401MM09,Utkarsha,Utkarsha@mycollege.in,,
1401CH11,Deependra,Deependra@mycollege.in,,
1401MM12,Anshuman,Anshuman@mycollege.in,,
1401CH14,Diksha,Diksha@mycollege.in,,
1401MM15,Anshul,Anshul@mycollege.in,,
1401CH17,Kushal,Kushal@mycollege.in,,
1401MM18,Ali,Ali@mycollege.in,,
1401CH20,Anand,Anand@mycollege.in,,
1401MM21,Vipasha,Vipasha@mycollege.in,,
1401CH23,Sonal,Sonal@mycollege.in,,
1401MM24,Chandra,Chandra@mycollege.in,,
1401CH26,Shatakshi,Shatakshi@mycollege.in,,
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,,
1401CH29,Simran,Simran@mycollege.in,,
1401MM30,Sairam,Sairam@mycollege.in,,
1401CH32,Stuti,Stuti@mycollege.in,,
1401MM33,Sara,Sara@mycollege.in,,
1401CH35,Ajit,Ajit@mycollege.in,,
1401MM36,Robin,Robin@mycollege.in,,
1401CH38,Mahendra,Mahendra@mycollege.in,,
1401MM39,Brahmaputra,Brahmaputra@mycollege.in,,
1401CH41,Abhijit,Abhijit@mycollege.in,,
1401MM42,Babu,Babu@mycollege.in,,
1401CH44,Danish,Danish@mycollege.in,,
1401MM45,Sameeksha,Sameeksha@mycollege.in,,
1401CT47,Archana,Archana@mycollege.in,,
1401CE49,Nupur,Nupur@mycollege.in,,
1401MM50,Sharique,Sharique@mycollege.in,,
1401MC52,Kalpana,Kalpana@mycollege.in,,
1401EC54,Shreyas,Shreyas@mycollege.in,,
1401MC56,Raunak,Raunak@mycollege.in,,
1401CH59,Dinesh,Dinesh@mycollege.in,,
1401MC61,Mahesh,Mahesh@mycollege.in,,
1401CH64,Tarun,Tarun@mycollege.in,,
1401MT66,Kausar,Kausar@mycollege.in,,
1401MT69,Hari,Hari@mycollege.in,,
1401MT72,Shaad,Shaad@mycollege.in,,
1401MT75,Sadiya,Sadiya@mycollege.in,,
1401MM79,Meet,Meet@mycollege.in,,
1401CS86,Shilpa,Shilpa@mycollege.in,,
