Roll,Name,Email,Unnamed: 3,Unique
1401CE01,Sarthak,Sarthak@mycollege.in,,
1401MC02,Sasi,Sasi@mycollege.in,,
1401CE04,Rishi,Rishi@mycollege.in,,
1401MC05,Kartikeya,Kartikeya@mycollege.in,,
1401CE07,Lakshya,Lakshya@mycollege.in,,
1401MC08,Sukirti,Sukirti@mycollege.in,,
1401CE10,Ishita,Ishita@mycollege.in,,
1401MC11,Ashok,Ashok@mycollege.in,,
1401CE13,Vineet,Vineet@mycollege.in,,
1401MC14,Lalit,Lalit@mycollege.in,,
1401CE16,Parul,Parul@mycollege.in,,
1401MC17,Dhruva,Dhruva@mycollege.in,,
1401CE19,Keshav,Keshav@mycollege.in,,
1401MC20,Raj,Raj@mycollege.in,,
1401CE22,Pratibha,Pratibha@mycollege.in,,
1401MC23,Sourav,Sourav@mycollege.in,,
1401CE25,Kshitij,Kshitij@mycollege.in,,
1401MC26,Ram,Ram@mycollege.in,,
1401CE28,Garima,Garima@mycollege.in,,
1401MC29,Yatharth,Yatharth@mycollege.in,,
1401CE31,Shreyansh,Shreyansh@mycollege.in,,
1401MC32,Sreekanth,Sreekanth@mycollege.in,,
1401CE34,Vidya,Vidya@mycollege.in,,
1401MC35,Rakesh,Rakesh@mycollege.in,,
1401CE37,Saran,Saran@mycollege.in,,
1401MC38,Rajiv,Rajiv@mycollege.in,,
1401CE40,Akhilesh,Akhilesh@mycollege.in,,
1401MC41,Asutosh,Asutosh@mycollege.in,,
1401CE43,Sushil,Sushil@mycollege.in,,
1401MC44,Kavish,Kavish@mycollege.in,,
1401CH46,Unnati,Unnati@mycollege.in,,
1401MT47,Eshma,Eshma@mycollege.in,,
1401EC49,Dipa,Dipa@mycollege.in,,
1401CS51,Sandhya,Sandhya@mycollege.in,,
1401CH53,Pankaj,Pankaj@mycollege.in,,
1401CE55,Sunil,Sunil@mycollege.in,,
1401CS57,Suryansh,Suryansh@mycollege.in,,
1401MM59,Sharanya,Sharanya@mycollege.in,,
1401CS62,Tuhin,Tuhin@mycollege.in,,
1401MM64,Asthana,Asthana@mycollege.in,,
1401MM67,Zeal,Zeal@mycollege.in,,
1401MM70,Archi,Archi@mycollege.in,,
1401MM73,Sejal,Sejal@mycollege.in,,
1401MT76,Saksham,Saksham@mycollege.in,,
1401CH81,Nandini,Nandini@mycollege.in,,
1401CS90,Sushant,Sushant@mycollege.in,,
