Roll,Name,Email,Unnamed: 3,Unique
1401CH01,Nitesh,Nitesh@mycollege.in,,
1401MM02,Abhilash,Abhilash@mycollege.in,,
1401CH04,Shikhar,Shikhar@mycollege.in,,
1401MM05,Hemlata,Hemlata@mycollege.in,,
1401CH07,Abhay,Abhay@mycollege.in,,
1401MM08,Deepa,Deepa@mycollege.in,,
1401CH10,Manu,Manu@mycollege.in,,
1401MM11,Dushyant,Dushyant@mycollege.in,,
1401CH13,Devendra,Devendra@mycollege.in,,
1401MM14,Chandran,Chandran@mycollege.in,,
1401CH16,Divyansh,Divyansh@mycollege.in,,
1401MM17,Aadil,Aadil@mycollege.in,,
1401CH19,Preeti,Preeti@mycollege.in,,
1401MM20,Aaditya,Aaditya@mycollege.in,,
1401CH22,Amol,Amol@mycollege.in,,
1401MM23,Anubha,Anubha@mycollege.in,,
1401CH25,Shashwat,Shashwat@mycollege.in,,
1401MM26,Rizwa,Rizwa@mycollege.in,,
1401CH28,Anchal,Anchal@mycollege.in,,
1401MM29,Vardhamann,Vardhamann@mycollege.in,,
1401CH31,Ashwani,Ashwani@mycollege.in,,
1401MM32,Gnaneswar,Gnaneswar@mycollege.in,,
1401CH34,Harshvardhan,Harshvardhan@mycollege.in,,
1401MM35,Sahaj,Sahaj@mycollege.in,,
1401CH37,Anil,Anil@mycollege.in,,
1401MM38,Rupeshwary,Rupeshwary@mycollege.in,,
1401CH40,Shalini,Shalini@mycollege.in,,
1401MM41,Pranav,Pranav@mycollege.in,,
1401CH43,Sanskriti,Sanskriti@mycollege.in,,
1401MM44,Chirayu,Chirayu@mycollege.in,,
1401CS46,Kirti,Kirti@mycollege.in,,
1401CB48,Pawan,Pawan@mycollege.in,,
1401MC49,Lekhraj,Lekhraj@mycollege.in,,
1401CT51,Anita,Anita@mycollege.in,,
1401CS53,Vatsalya,Vatsalya@mycollege.in,,
1401CH55,Pooja,Pooja@mycollege.in,,
1401CT57,Kushagra,Kushagra@mycollege.in,,
1401MT59,Reshami,Reshami@mycollege.in,,
1401CT62,Naziya,Naziya@mycollege.in,,
1401MT64,Priyamvada,Priyamvada@mycollege.in,,
1401MT67,Rouby,Rouby@mycollege.in,,
1401MT70,Saumile,Saumile@mycollege.in,,
1401MT73,Rupali,Rupali@mycollege.in,,
1401CH77,Rituraj,Rituraj@mycollege.in,,
1401CS81,Shivanshi,Shivanshi@mycollege.in,,
1401CS91,Ujjwal,Ujjwal@mycollege.in,,
