Roll,Name,Email,Unnamed: 3,Unique
1401CT01,Sudhanshu,Sudhanshu@mycollege.in,,
1401AI03,Harsh,Harsh@mycollege.in,,CE.csv
1401CT04,Sourabh,Sourabh@mycollege.in,,
1401AI06,Anjali,Anjali@mycollege.in,,CT.csv
1401CT07,Satendra,Satendra@mycollege.in,,
1401AI09,Rohit,Rohit@mycollege.in,,MM.csv
1401CT10,Sudheer,Sudheer@mycollege.in,,
1401AI12,Rahul,Rahul@mycollege.in,,
1401CT13,Yashika,Yashika@mycollege.in,,
1401AI15,Amit,Amit@mycollege.in,,
1401CT16,Sunny,Sunny@mycollege.in,,
1401AI18,Shruti,Shruti@mycollege.in,,
1401CT19,Monti,Monti@mycollege.in,,
1401AI21,Ankit,Ankit@mycollege.in,,
1401CT22,Mugdha,Mugdha@mycollege.in,,
1401AI24,Siddharth,Siddharth@mycollege.in,,
1401CT25,Megha,Megha@mycollege.in,,
1401AI27,Harshit,Harshit@mycollege.in,,
1401CT28,Ranu,Ranu@mycollege.in,,
1401AI30,Varun,Varun@mycollege.in,,
1401CT31,Saloni,Saloni@mycollege.in,,
1401AI33,Harshita,Harshita@mycollege.in,,
1401CT34,Purnima,Purnima@mycollege.in,,
1401AI36,Swati,Swati@mycollege.in,,
1401CT37,Vandana,Vandana@mycollege.in,,
1401AI39,Nidhi,Nidhi@mycollege.in,,
1401CT40,Yuvraj,Yuvraj@mycollege.in,,
1401AI42,Anshika,Anshika@mycollege.in,,
1401CT43,Simaran,Simaran@mycollege.in,,
1401AI45,Prakhar,Prakhar@mycollege.in,,
1401EC46,Dilip,Dilip@mycollege.in,,
1401CH48,Anupam,Anupam@mycollege.in,,
1401MT49,Ehtisham,Ehtisham@mycollege.in,,
1401MC51,Seshikanth,Seshikanth@mycollege.in,,
1401EC53,Shyam,Shyam@mycollege.in,,
1401CT55,Jaya,Jaya@mycollege.in,,
1401MM57,Vashif,Vashif@mycollege.in,,
1401CS60,Smita,Smita@mycollege.in,,
1401MM62,Yeram,Yeram@mycollege.in,,
1401CS65,Ayan,Ayan@mycollege.in,,
1401CS68,Umme,Umme@mycollege.in,,
1401CS71,Ayushman,Ayushman@mycollege.in,,
1401CS74,Jaswant,Jaswant@mycollege.in,,
1401MM77,Akshaya,Akshaya@mycollege.in,,
1401CH82,Rashmi,Rashmi@mycollege.in,,
1401CS93,Subham,Subham@mycollege.in,,
