Roll,Name,Email,Unnamed: 3,Unique
1401CE02,Alok,Alok@mycollege.in,,
1401MC03,Arvind,Arvind@mycollege.in,,
1401CE05,Pragati,Pragati@mycollege.in,,
1401MC06,Chaitanya,Chaitanya@mycollege.in,,
1401CE08,Ashish,Ashish@mycollege.in,,
1401MC09,Subodh,Subodh@mycollege.in,,
1401CE11,Shaurya,Shaurya@mycollege.in,,
1401MC12,Suresh,Suresh@mycollege.in,,
1401CE14,Mayank,Mayank@mycollege.in,,
1401MC15,Urmila,Urmila@mycollege.in,,
1401CE17,Shambhavi,Shambhavi@mycollege.in,,
1401MC18,Dhananjay,Dhananjay@mycollege.in,,
1401CE20,Prince,Prince@mycollege.in,,
1401MC21,Chinmay,Chinmay@mycollege.in,,
1401CE23,Praveen,Praveen@mycollege.in,,
1401MC24,Desh,Desh@mycollege.in,,
1401CE26,Arushi,Arushi@mycollege.in,,
1401MC27,Laxmi,Laxmi@mycollege.in,,
1401CE29,Manish,Manish@mycollege.in,,
1401MC30,Mridul,Mridul@mycollege.in,,
1401CE32,Atul,Atul@mycollege.in,,
1401MC33,Sweta,Sweta@mycollege.in,,
1401CE35,Shubhangi,Shubhangi@mycollege.in,,
1401MC36,Pinky,Pinky@mycollege.in,,
1401CE38,Vikash,Vikash@mycollege.in,,
1401MC39,Rajkumar,Rajkumar@mycollege.in,,
1401CE41,Nitin,Nitin@mycollege.in,,
1401MC42,Pradip,Pradip@mycollege.in,,
1401CE44,Vartika,Vartika@mycollege.in,,
1401MC45,Monica,Monica@mycollege.in,,
1401CS47,Annanya,Annanya@mycollege.in,,
1401CB49,Soumya,Soumya@mycollege.in,,
1401MC50,Sahil,Sahil@mycollege.in,,
1401EC52,Indu,Indu@mycollege.in,,
1401CT54,Kritika,Kritika@mycollege.in,,
1401CT56,Namrata,Namrata@mycollege.in,,
1401MT58,Joy,Joy@mycollege.in,,
1401CT61,Jai,Jai@mycollege.in,,
1401MT63,Prakharendra,Prakharendra@mycollege.in,,
1401MM66,Ashal,Ashal@mycollege.in,,
1401MM69,Archita,Archita@mycollege.in,,
1401MM72,Shyamali,Shyamali@mycollege.in,,
1401MM75,Gitanshu,Gitanshu@mycollege.in,,
1401CS79,Dimpal,Dimpal@mycollege.in,,
1401CS85,Satyam,Satyam@mycollege.in,,
