Roll,Name,Email,Unnamed: 3,Unique
1401MM01,Bilal,Bilal@mycollege.in,,
1401CH03,Naveen,Naveen@mycollege.in,,
1401MM04,Apoorva,Apoorva@mycollege.in,,
1401CH06,Chirag,Chirag@mycollege.in,,
1401MM07,Sathwika,Sathwika@mycollege.in,,
1401CH09,Smriti,Smriti@mycollege.in,,
1401MM10,Deep,Deep@mycollege.in,,
1401CH12,Anoop,Anoop@mycollege.in,,
1401MM13,Sukumaran,Sukumaran@mycollege.in,,
1401CH15,Muskaan,Muskaan@mycollege.in,,
1401MM16,Saanchi,Saanchi@mycollege.in,,
1401CH18,Nitish,Nitish@mycollege.in,,
1401MM19,Nishant,Nishant@mycollege.in,,
1401CH21,Hemant,Hemant@mycollege.in,,
1401MM22,Abbas,Abbas@mycollege.in,,
1401CH24,Rishab,Rishab@mycollege.in,,
1401MM25,Ayesha,Ayesha@mycollege.in,,
1401CH27,Supriya,Supriya@mycollege.in,,
1401MM28,Devadathan,Devadathan@mycollege.in,,
1401CH30,Srijan,Srijan@mycollege.in,,
1401MM31,Abhedhya,Abhedhya@mycollege.in,,
1401CH33,Abhijeet,Abhijeet@mycollege.in,,
1401MM34,Rupal,Rupal@mycollege.in,,
1401CH36,Poornima,Poornima@mycollege.in,,
1401MM37,Rupanjali,Rupanjali@mycollege.in,,
1401CH39,Ahmad,Ahmad@mycollege.in,,
1401MM40,Hariharan,Hariharan@mycollege.in,,
1401CH42,Suyash,Suyash@mycollege.in,,
1401MM43,Bibhu,Bibhu@mycollege.in,,
1401CH45,Tamanna,Tamanna@mycollege.in,,
1401MT46,Mukund,Mukund@mycollege.in,,
1401EC48,Durgesh,Durgesh@mycollege.in,,
1401CH50,Shoaib,Shoaib@mycollege.in,,
1401CE52,Vanshika,Vanshika@mycollege.in,,
1401MT53,Punya,Punya@mycollege.in,,
1401MT55,Devyanti,Devyanti@mycollege.in,,
1401CS58,Yashaswi,Yashaswi@mycollege.in,,
1401MM60,Saudamini,Saudamini@mycollege.in,,
1401CS63,Arti,Arti@mycollege.in,,
1401MT65,Rajneesh,Rajneesh@mycollege.in,,
1401MT68,Sanket,Sanket@mycollege.in,,
1401MT71,Shagufta,Shagufta@mycollege.in,,
1401MT74,Jenamani,Jenamani@mycollege.in,,
1401CS78,Divakar,Divakar@mycollege.in,,
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,,
